Store,Week_ending_date,Weekly_Sales,Is_holiday_week,Fuel_price,CPI,Unemployment
1,01/02/2019,1643690.9,0,2.572,211.0963582,8.106
1,08/02/2019,1641957.44,1,2.548,211.2421698,8.106
1,15/02/2019,1611968.17,0,2.514,211.2891429,8.106
1,22/02/2019,1409727.59,0,2.561,211.3196429,8.106
1,01/03/2019,1554806.68,0,2.625,211.3501429,8.106
1,08/03/2019,1439541.59,0,2.667,211.3806429,8.106
1,15/03/2019,1472515.79,0,2.72,211.215635,8.106
1,22/03/2019,1404429.92,0,2.732,211.0180424,8.106
1,29/03/2019,1594968.28,0,2.719,210.8204499,7.808
1,05/04/2019,1545418.53,0,2.77,210.6228574,7.808
1,12/04/2019,1466058.28,0,2.808,210.4887,7.808
1,19/04/2019,1391256.12,0,2.795,210.4391228,7.808
1,26/04/2019,1425100.71,0,2.78,210.3895456,7.808
1,03/05/2019,1603955.12,0,2.835,210.3399684,7.808
1,10/05/2019,1494251.5,0,2.854,210.3374261,7.808
1,17/05/2019,1399662.07,0,2.826,210.6170934,7.808
1,24/05/2019,1432069.95,0,2.759,210.8967606,7.808
1,31/05/2019,1615524.71,0,2.705,211.1764278,7.808
1,07/06/2019,1542561.09,0,2.668,211.4560951,7.808
1,14/06/2019,1503284.06,0,2.637,211.4537719,7.808
1,21/06/2019,1422711.6,0,2.653,211.3386526,7.808
1,28/06/2019,1492418.14,0,2.669,211.2235333,7.787
1,05/07/2019,1546074.18,0,2.642,211.108414,7.787
1,12/07/2019,1448938.92,0,2.623,211.1003854,7.787
1,19/07/2019,1385065.2,0,2.608,211.2351443,7.787
1,26/07/2019,1371986.6,0,2.64,211.3699032,7.787
1,02/08/2019,1605491.78,0,2.627,211.5046621,7.787
1,09/08/2019,1508237.76,0,2.692,211.6394211,7.787
1,16/08/2019,1513080.49,0,2.664,211.6033633,7.787
1,23/08/2019,1449142.92,0,2.619,211.5673056,7.787
1,30/08/2019,1540163.53,0,2.577,211.5312479,7.787
1,06/09/2019,1507460.69,1,2.565,211.4951902,7.787
1,13/09/2019,1430378.67,0,2.582,211.5224596,7.787
1,20/09/2019,1351791.03,0,2.624,211.5972246,7.787
1,27/09/2019,1453329.5,0,2.603,211.6719895,7.838
1,04/10/2019,1508239.93,0,2.633,211.7467544,7.838
1,11/10/2019,1459409.1,0,2.72,211.8137436,7.838
1,18/10/2019,1345454,0,2.725,211.8612937,7.838
1,25/10/2019,1384209.22,0,2.716,211.9088438,7.838
